Source_Object_title,Source_Note_body,Target_Object_title,Target_Note_body
增加感興趣程度,透過提問來激發學生對問題的感興趣也能增加動力,Motivation for student learning,"When students are given the opportunity to pursue issues and problems that really matter to them, students’ sense of autonomy and agency skyrockets
學生在真正想知道的問題上，學生的能動性會增加"
老師扮演重要角色,老師歸納與統整後可以針對問題進行追問，幫助學生想的更深更廣,深入思考與豐富思維,"Asking deep and rich questions that can spark and  sustain a prolonged KB inquiry is a critical part  of creative knowledge work. P34
問題：知識建構過程中，
如何在學習過程中，讓學生去深入思考並產生豐富的發想，創造精進的思維??"
小組討論,以我們班為例，課堂中採小組座位，可以比較好進行討論，透過和組員的分享與互動，學生願意開口說的機會會提高，漸漸的可以改變傳統單純教師講課的課堂風景,引導,我們可以透過鼓勵引導的方式，讓學生發表提問，也可以透過小組加分活動，讓大家可以踴躍提出自己的想法。
給予正增強,像是口頭讚美或加分都是正增強的方法,老師要鼓勵發言,老師要鼓勵發言，當學生問出一個好的問題時，老師要稱讚他，因為他的疑問可能也是其他同學的問題，或是給予獎勵，比如加分或給小獎品。
不斷的學習,問問題的技巧是學生需要學習的一件事，如何聚焦問題，並且讓人看得懂是需要透過不斷練習才能越來越好的。老師可以引導學生去發現何謂好問題以及意義不明的問題,如何尋找好的問題？,如同P.39頁提到，學生在探索問題時，問題會接踵而來，一個接著一個，從知識建構的角度來說，學生會慢慢引導提出一個值得被討論的問題，那我們該如何縮小討論的範圍，進而將問題提升為值得被討論的問題，
安心的環境,教室的氛圍很重要，如何讓學生能安心學習，並且知道自己的想法不會被嘲笑，能夠勇敢表達想法是一件重要的事，不管好與壞老師都可以予以讚美及肯定,不敢發問,還有要提出有意義的問題有意易有意義怎麼衡量?會不會因此不敢發問問題，可能擔心被嘲笑?
學生提問,"Students, especially those in younger grades, are often full of questions 
about the world around them.
Sometimes, however,inspiring students to pose meaningful questions 
may be a challenge.　P35
尤其是低年級的學生，他們對周圍的世界充滿了許多疑問。
有時候，啟發學生提出「有意義的」問題可能是一個挑戰。",引導,我們可以透過鼓勵引導的方式，讓學生發表提問，也可以透過小組加分活動，讓大家可以踴躍提出自己的想法。
腦力激盪,"P.38 提到
Likewise, stimulating and authentic provocation opportunities and experiences can inspire rich questioning. 提供具有刺激性和真實性的挑戰性機會和經驗可以激發rich question
所以，當人們遇到具有挑戰性和真實性的經驗時，他們可能會開始對這些經驗提出""問題""，並且開始""思考""有關這些經驗的更多訊息、細節及解決方法。
這種機會和經驗可以來自不同的領域和場景(EX:學校、社區、文化活動)。提供這些經驗和機會可以幫助人們發展好奇心和探究精神，並激發他們對世界的探索。從而促進知識的發展和學習的進步。",rich question是什麼樣的問題,沒錯，我也覺得是複雜且需要解決的問題，需要透過社群成員間的討論、腦力激盪，才能夠提出一個解決方案的問題
政府網站統計資料,"DATABASES 部分可以找：
政府統計資訊網(Government Statistics)
行政院主計處(Directorate-General of Budget, Accounting and Statistics)
裡面有很多有趣的統計資料~",啟發學生好奇心的資源,"P.38有提出許多的資源
不過大多都是美國的資源，因此不太曉得內容
想問問大家覺得就台灣而言有什麼好的教學內容、素材
是能引發學生好奇心?
我個人是覺得自然科學蠻多有趣又神奇的內容能引發好奇心
可以透過一些實驗的操作之類類的~~~"
引發共鳴討論,應該是可以引發共鳴討論的問題!,rich questions,"rich questions 能夠激發並持續深入探究知識翻新，此為創造性知識工作的關鍵部分。
那麼怎樣的問題屬於rich questions？"
推進社群知識&理解,"個人認為可以推進社群的知識和理解的方式有以下：
提供有力的證據：若提供可靠的證據，我想可以幫助推進討論和建立共識。
提出新觀點：在討論中，提出新的觀點可以促進對問題的深入思考和理解。
提供關鍵問題：提出關鍵問題可幫助澄清問題、挑戰現有的看法和促進討論。
結合個人經驗：分享個人經驗可以幫助其他人更好理解問題和看到其影響。
建立共識：熱烈討論並建立共識是推進知識和理解的重要方面。",有展望的?,"P.39
A very important concept from a Knowledge Building perspective is the notion of promisingness. A promising idea or question can be understood as “something that is considered worth spending time on.
(從知識翻新的角度來看，一個非常重要的概念是promisingness。A promising idea or question可以理解為“值得花時間去探索研究的事情”。)
好的討論這個問題有點廣泛，若是指好的問題討論的話，P.39有提到，就我的理解是有辦法繼續討論下去，可以朝更好的結果發想的討論內容。"
引導學生,"The teacher also must 
be responsive to the community's ideas, misconceptions, and 
knowledge gaps, designing mini-lessons or experiments ""just in time"" that will help students move their 
thinking forward.
P30
老師對想法的誤解和知識的誤解，設計一個“即時”的課程，以幫助學生往正確的方向思考。",老師的引導及社群的力量,"helping to create a dynamic and supportive KB community.
Experiences that spark students’ interest and elicit genuine “I wonders” can set a course for authentic and sustained Knowledge Building
P35
創建一個充滿活力和支持性的知識創新社群。激發學生興趣並引發真正的“我想知道”的體驗可以為真實和持續的知識構建設置課程。
或許可以透過社群來改變學生態度及學習方式，並透過老師幫助學生成為優秀的提問者，只是老師又該怎麼幫助學生呢?"
just in time,"The teacher also must 
be responsive to the community's ideas, misconceptions, and 
knowledge gaps, designing mini-lessons or experiments ""just in time"" that will help students move their 
thinking forward.
P30
老師對想法的誤解和知識的誤解，設計一個“即時”的課程，以幫助學生往正確的方向思考。",深入思考與豐富思維,"Asking deep and rich questions that can spark and  sustain a prolonged KB inquiry is a critical part  of creative knowledge work. P34
問題：知識建構過程中，
如何在學習過程中，讓學生去深入思考並產生豐富的發想，創造精進的思維??"
如何挑起或利用鉤子引發求知慾就會是很重要的環節。,"When students get hooked on a problem of understanding that is real to them. they can't help but engage with the curriculum in deep and meanungful ways.
一但求知慾被挑起，學習的連結度會提高，學習能動性(AGENCY)也會增加。",authentic and sustained Knowledge Building,"Experiences that spark students’ interest and elicit genuine “I wonders” can set a course for authentic and sustained Knowledge Building.
激發學生興趣並引發真正的“我想知道” 才是Knowledge Building中最重要的。"
書中也提到許多方法可以挑起學習者的求知慾（如實驗教育機構）,"Art Works, Maps, Virtual Guests/Connect with experts, Video Series, Databases, Historaical thiniking websites, Nature webcams.
在Virtual Guests/Connect with experts裏面有提到STEM的實驗教育機構，若實驗教育機構有用對方法，譬如本書KB的12原則或跨領域等方法，確實有助於引發學習者的學習能動性、反思或求知慾等等。並在authentic problems找到思維方式或是解決方法。",Motivation for student learning,"When students are given the opportunity to pursue issues and problems that really matter to them, students’ sense of autonomy and agency skyrockets
學生在真正想知道的問題上，學生的能動性會增加"
實踐提問的關鍵：權威型或Believe Mode的教師是否喜歡學生提問,"在教學的權威性或Believe Mode底下，若學生提問過多，會被誤以為是挑戰老師。然而一個學生若經過大腦思維的運作進而產生對學習的問題，這是一件很珍貴的事情。
對KB的老師而言，Helping students become great questioners is one of the key roles of a KB teacher.",提問的文化,"The stronger a culture of questioning, and the more authentic and real the “hook,” the more likely students will start out of the gate guided by rich and interesting questions that really matter to them.
如文中所提及的，提問的文化越強烈，“鉤子”越真實，學生就越有可能在對他們真正重要和有趣的問題下引導下走出大門。"
不僅如此，對學習也須擁有主人翁意識和能動性,"A sense of ownership and agency over one's work, as well as being deeply engaged in a matter that one is truly interested in or passionate about, does woners for people's sense of  well-being, motivation and self worth.",Motivation for student learning,"When students are given the opportunity to pursue issues and problems that really matter to them, students’ sense of autonomy and agency skyrockets
學生在真正想知道的問題上，學生的能動性會增加"
不論在學生的學習或是成人的工作領域中都可以得到相同的印證,"不論是成人或是學生，一但具備主人翁意識及能動性，就會提高產值。
It is also vital to productivity and success in knowledge work. This is tru as much for adults in the work place as it is for students in the classroom.",agency skyrockets,"agency skyrockets 指能動性飆升，
agency 能動性，是行動者在給定環境中行動的能力。
能動性可以被歸類為無意識的、非自願的行為，或有目的的、目標導向的活動（故意行為）。 能動者通常對他們的身體活動和活動旨在實現的目標有某種直接的認識。 在「目標導向行動」中，能動者對其自己的行為實施一種直接控制或指導。"
善用學習工具 事半功倍,"善用各種學習工具 
例如: ChatGPT
讓學習成效更卓越",Give a man a tool and he will know what to do with it.,"P.38 
“Provide them with a helpful framework for thinking about using questions as a tool for inquiry. ”
In Knowledge Building, exploring questions is more than just seeking out “the answer.” In the  process of creative idea development, one question leads to another question leads to another  question, ad infinitum. Sometimes, great questions come immediately and spark an investigation,  while at other times students might need to do a bit of work to land on a question or problem  statement that really appeals to them, and that has the potential to sustain a deep and prolonged  inquiry. 
這句話提到了引導式學習的重要性，在學習的過程中丟問題給學生自己尋找答案，不僅會印象深刻，且也可能會得到意想不到的答案。
問題1:如何在提供問題時，確定難易度對於學生來說是合適的？
問題2:學生是否有可能在尋求答案時發生問題無限上綱發散的現象？"
實際生活的問題無法只靠單一方式處理,"“ There is no real situation where we would only use one concept in math to solve a problem.（p82）
沒有真實情況是在我們只會使用一個數學概念去解決問題。
省思：現今強調素養導向，重視跨領域、跨科際，用創新的思維與方法去解決問題，因為現實生活的問題已經不是只靠一個能力可以處理，特定或舊有的方式也是有機會呈現不同的面貌。",數學的基礎,"Problem solving forms the basis of effective mathematics programs and should be the mainstay of mathematical instruction.
在國小的數學,就是一個在解決問題的工具，讓學生正確使用這個工具就是老師要教導學生的，所以文中提到讓解決問題是數學的支柱，我覺得這句話很正確。不過現在的數學課程中，有許多冗長的敘述及繁複的步驟需要學生書寫，甚至規定學生一定要用特定的解法才能夠得分，但真的有必要嗎？
問題：
今天究竟是要讓學生學會解決問題，還是用特定的方式解決呢？"
學習自發性,"Real Ideas, Authentic Problems: This principle involves engaging students in problems involving math that spark their natural curiosity, which can help them both develop their understanding and form positive attitudes towards the subject (Colgan, 2014).(p.72)
此處再次引用KB的十二個原則尤其真實的想法，在面對數學尤其適用，讓學生實際參與數學問題引發其好奇心，進而引發其學習自主性。
回覆這點老師的角色僅能在旁提供協助，學生自主性仍須靠其自身培養對學科的興趣或企圖心，才有可能從根本對自我學習負責。",想法的改進,"Like all Knowledge Building, the approach in math is collaborative and inclusive; it requires that students and teachers work together on achievement objectives, and that students take high-level responsibility for goals and outcomes — and especially for idea improvement.(p.71)
像是KB原則中提到的，所有想法都是可以改進的。數學的學習方法就是可以改進的，而且每一階段的數學也是可以改進的，例如：低年級學加法，中年級用乘法。所有的學習法也在改進，但不是每位學生都願意改變，所以要對目標有責任感最重要。但...該怎麼辦到？
問題：學生如何對自己的學習產生責任感呢？"
IAM-eMMa system,"IAM-eMMa, uses knowledge-based rules, which are constructed by other designers, to retrieve images related to a design task. The system also infers the underlying “requirements” when a designer chooses one of the images.
IAM-eMMa，使用基於知識的規則，由其他設計師構建，以檢索圖像與設計任務相關。 系統還推斷當設計師選擇其中一個時，潛在的“要求”圖像。
主要用於圖像搜索任務。",A Framework that Supports Collective Creativity in Design using Visual Images,"第三組本周閱讀論文
A Framework that Supports Collective
Creativity in Design using Visual Images
支持集體的框架 使用視覺圖像的設計創意"
EVIDII system,"EVIDII, allows designers to associate affective words and images, and then shows
several visual representations of the relationships among designers, images and words.
EVIDII 允許設計人員聯想情感詞和圖像，然後顯示之間關係的幾種視覺表示設計師、圖像和文字。",A Framework that Supports Collective Creativity in Design using Visual Images,"第三組本周閱讀論文
A Framework that Supports Collective
Creativity in Design using Visual Images
支持集體的框架 使用視覺圖像的設計創意"
A typical model for the creative design,"(1) collection of information
(2) incubation
(3) creative insight
(4) evaluation
Collaboration with other people, either directly, or indirectly via representations created by other people, takes place in all of the four stages except the third stage.
與其他人合作，直接或間接通過由其他人創建的表示，發生在所有除第三階段外的四個階段。",A Framework that Supports Collective Creativity in Design using Visual Images,"第三組本周閱讀論文
A Framework that Supports Collective
Creativity in Design using Visual Images
支持集體的框架 使用視覺圖像的設計創意"
metaphor 隱喻的概念,"A metaphor is an association between two concepts . Two concepts are metaphorically related if there are properties that are common to both concepts.
隱喻是兩個概念之間的一種聯想。
如果在兩個概念間有共同點，那兩個概念是屬於隱喻相關的。",A typical model for the creative design,"(1) collection of information
(2) incubation
(3) creative insight
(4) evaluation
Collaboration with other people, either directly, or indirectly via representations created by other people, takes place in all of the four stages except the third stage.
與其他人合作，直接或間接通過由其他人創建的表示，發生在所有除第三階段外的四個階段。"
對數學展現正向態度,"Displays A Positive Attitude Towards Mathematics
Students experience a learning environment that:
• Feels safe to wonder and take intellectual risks （令人身心安心的環境）
• Develops self-efficacy, resilience, and a growth mindset（提升自我效能、適應力及心態）
• Positions them as mathematical thinkers and doers（將他們視為數學家、實踐家）
• Fosters an appreciation for math as an important tool in daily living（將數學視為日常工具）
P.72
想法
在這個部分提到了怎樣的環境利於培養學生的正向學習態度，或許對教學現場會有所幫助。
但我認為很有趣的一點在於「將學生視為實踐家」、「數學是日常生活的工具」，若是某些數學知識在生活中使用不到（例如：三角函數），這樣是否還有學習的必要？學生是否能拒絕學習？",想法的改進,"Like all Knowledge Building, the approach in math is collaborative and inclusive; it requires that students and teachers work together on achievement objectives, and that students take high-level responsibility for goals and outcomes — and especially for idea improvement.(p.71)
像是KB原則中提到的，所有想法都是可以改進的。數學的學習方法就是可以改進的，而且每一階段的數學也是可以改進的，例如：低年級學加法，中年級用乘法。所有的學習法也在改進，但不是每位學生都願意改變，所以要對目標有責任感最重要。但...該怎麼辦到？
問題：學生如何對自己的學習產生責任感呢？"
多元想法,"Idea Diversity
Understanding Math Concepts Is Proficient with Facts, Skills and Procedures
Engages in Mathematical Processes.(p.74)
想法
我認為倒不是強迫使用特定解題方式，而是期望學生精通不同的解題方式。不同的解題方式即是從不同的角度切入問題，不僅可以培養學生多元思考的能力，學習更多不同的方法也能增進未來面對更艱深數學的能力。",數學的基礎,"Problem solving forms the basis of effective mathematics programs and should be the mainstay of mathematical instruction.
在國小的數學,就是一個在解決問題的工具，讓學生正確使用這個工具就是老師要教導學生的，所以文中提到讓解決問題是數學的支柱，我覺得這句話很正確。不過現在的數學課程中，有許多冗長的敘述及繁複的步驟需要學生書寫，甚至規定學生一定要用特定的解法才能夠得分，但真的有必要嗎？
問題：
今天究竟是要讓學生學會解決問題，還是用特定的方式解決呢？"
數學知識使用範圍,"回覆
三角函數描述現實世界中具有週期現象的重要數學模型且如果想把三維3d模式轉為2d還要進一步作成動畫，那非得使用三角函數，在學習階段應讓學生了解此學習未來可能用得到當成日常工具，所需教師引導提供直觀說明如能藉助資訊輔助等或許較能避免學生對於三角函數等用不到之印象且抗拒學習。",對數學展現正向態度,"Displays A Positive Attitude Towards Mathematics
Students experience a learning environment that:
• Feels safe to wonder and take intellectual risks （令人身心安心的環境）
• Develops self-efficacy, resilience, and a growth mindset（提升自我效能、適應力及心態）
• Positions them as mathematical thinkers and doers（將他們視為數學家、實踐家）
• Fosters an appreciation for math as an important tool in daily living（將數學視為日常工具）
P.72
想法
在這個部分提到了怎樣的環境利於培養學生的正向學習態度，或許對教學現場會有所幫助。
但我認為很有趣的一點在於「將學生視為實踐家」、「數學是日常生活的工具」，若是某些數學知識在生活中使用不到（例如：三角函數），這樣是否還有學習的必要？學生是否能拒絕學習？"
有前途的判斷也可以被視為是一種智慧,"p.348提到 Making promisingness judgments requires a form of tacit knowledge and may be treated as a type of wisdom.
有前途的判斷需要內隱知識，這可以被視為是一種智慧。
所謂的內隱知識為：波蘭尼認為：「人類的知識有兩種。通常被描述為知識的，即以書面文字、圖表和數學公式加以表述的，只是一種類型的知識。而未被表述的知識，像我們在做某事的行動中所擁有的知識，是另一種知識。」(來自維基百科)",透過做出和討論前景判斷來提高理解,"P.364~365
Conclusions
結果表明，有前途的判斷有可能提高個人對社群知識的認識，並以此來改善旨在促進社群知識的合作。"
首先要先讓他們定義出什麼是有前途的想法和問題,"像是在實驗中，老師透過全班討論，提出班上認為什麼是有前途的想法和問題
p.352 By the end of the presentation of examples and discussion the class elaborated their shared understanding of promising ideas as ideas that “they wish to spend time on,” “may change in further inquiry,” and “would deepen their shared understanding.”
是學生想花時間研究、可能進一步的探究其中所發生的變化、或是會共同加深他們的理解程度的
老年人總會對某些事情感到疑惑或渴望，希望得到什麼東西或是改變什麼東西，或許就可以從生活中的議題著手",對於年長的學生如何建構,年長的學生應該沒有什麼可以掌握和應用有前途的概念，他們能真正在所有創造性的努力中發揮積極的作用嗎？
能動性,"Epistemic Agency:
Students take responsibility for their ideas by determining the
learning outcomes, processes, and the accompanying challenges. Students engage in negotiation and dialogue to fit personal ideas with others.(p.20)
 






“I’m skeptical of your theory. If we used that strategy, this would change the meaning of the number. I think we should take a closer look at place value here.”(p.73)
基於ＫＢ的十二項原則，能動性的重要，在數學學習上，展現於學生對於數學理論的挑戰與策略的使用。
問題：
學生對於數學理論沒有足夠的了解也沒有信心無法提出疑問時該怎麼辦？",學習自發性,"Real Ideas, Authentic Problems: This principle involves engaging students in problems involving math that spark their natural curiosity, which can help them both develop their understanding and form positive attitudes towards the subject (Colgan, 2014).(p.72)
此處再次引用KB的十二個原則尤其真實的想法，在面對數學尤其適用，讓學生實際參與數學問題引發其好奇心，進而引發其學習自主性。
回覆這點老師的角色僅能在旁提供協助，學生自主性仍須靠其自身培養對學科的興趣或企圖心，才有可能從根本對自我學習負責。"
或許是討論激發出的思考,"會不會是一個議題
讓學生討論其中的核心
再延伸出去來判斷學生討論的想法發展性呢?",關於promiging idea,"什麼是promising idea呢？
在文章的p.347提到""deserving of further investment in development.""
是值得進一步發展的，就如同我們選擇論文主題一樣，這個題目是否對未來有幫助，是不是值得去研究的。
問題：較小年紀的學習者在討論的時候，如何得知這個想法是具有發展性的呢？"
對應到KB原則,"Vision for the Mathematical Learner:對數學學習者來說以下原則有包含對數學展現正向態度
Real Ideas, Authentic Problems
Improvable Ideas
Knowledge Building Discourse
Epistemic Agency
Pervasive Knowledge Building
Constructive Use of Authoritative Sources
Democratizing Knowledge
Symmetric Knowledge Advance
問題:
知道對應的原則後如何應用?",對數學展現正向態度,"Displays A Positive Attitude Towards Mathematics
Students experience a learning environment that:
• Feels safe to wonder and take intellectual risks （令人身心安心的環境）
• Develops self-efficacy, resilience, and a growth mindset（提升自我效能、適應力及心態）
• Positions them as mathematical thinkers and doers（將他們視為數學家、實踐家）
• Fosters an appreciation for math as an important tool in daily living（將數學視為日常工具）
P.72
想法
在這個部分提到了怎樣的環境利於培養學生的正向學習態度，或許對教學現場會有所幫助。
但我認為很有趣的一點在於「將學生視為實踐家」、「數學是日常生活的工具」，若是某些數學知識在生活中使用不到（例如：三角函數），這樣是否還有學習的必要？學生是否能拒絕學習？"
良好的氣氛,"Democratizing Knowledge(p.25)
all have a sense of ownership of knowledge advances achieved by the group.
根據KB理論中提到的民主化的知識，讓每個人都可以成為想法的提供者。這時建立一個良好的環境，和善的氛圍就很重要。
一旦有良好的環境與氛圍，離侃侃而談可能就不遠了",能動性,"Epistemic Agency:
Students take responsibility for their ideas by determining the
learning outcomes, processes, and the accompanying challenges. Students engage in negotiation and dialogue to fit personal ideas with others.(p.20)
 






“I’m skeptical of your theory. If we used that strategy, this would change the meaning of the number. I think we should take a closer look at place value here.”(p.73)
基於ＫＢ的十二項原則，能動性的重要，在數學學習上，展現於學生對於數學理論的挑戰與策略的使用。
問題：
學生對於數學理論沒有足夠的了解也沒有信心無法提出疑問時該怎麼辦？"
不要害怕錯誤,"See failure as a normal part of the process.(p.28)
學生在學習過程中必然會有迷思，這也是教師存在的意義—將學生認知導向正確方向。
教師除了知識傳授之外也要建立學生不害怕回答錯誤的態度，如同28頁所提及的KB教室元素—將錯誤視為一個必然的過程。",良好的氣氛,"Democratizing Knowledge(p.25)
all have a sense of ownership of knowledge advances achieved by the group.
根據KB理論中提到的民主化的知識，讓每個人都可以成為想法的提供者。這時建立一個良好的環境，和善的氛圍就很重要。
一旦有良好的環境與氛圍，離侃侃而談可能就不遠了"
問題解決,"“Problem solving is central to learning mathematics. By learning to solve problems and by learning through problem solving, students are given numerous opportunities to connect mathematical ideas and to develop conceptual understanding. Problem solving forms the basis of effective mathematics programs and should be the mainstay of mathematical instruction” (The Ontario Curriculum Grades 1-8, Mathematics, 2005, p. 11).(p.71)
在此段中提到數學的核心為解決問題，因此我認為問題解決是其中最重要的一部分。這也是目前教育常被拿出來討論的部分，要讓學生利用數學或是動手去解決生活中的問題，而非考試時紙上談兵。",學生運用KB瞭解數學,"When students are engaged in Knowledge Building to advance mathematical understanding, they are:
• Problem Solving
• Reasoning and Proving
• Reflecting
• Selecting Tools and Computational Strategies
• Connecting
• Representing
• Communicating(p.70)
學生運用Knowledge Building可以更深刻了解數學意涵，同時他們也在：
問題解決
找尋理由與證據
反思
挑選工具與運算策略
連結
表達
溝通
問題：
哪個環節最重要？是否有優先順序？連結指的是和什麼的連結？"
應用KB原則孕育出KB深度對談,"The chart below suggests an alignment between the KB principles, and different aspects of the Vision for the Mathematical Learner. It includes examples of student KB Discourse from a Grade 6 KB classroom that illustrates engagement for each category.（p73、74）
下圖表示KB原則與數學學習者願景不同面向間的一致性。它包括來自 6 年級KB課堂的學生KB對談示範，說明了每個類別的參與。
省思：為了促發課堂上KB對談交流，必須經由細膩的設計才有辦法施作，且要扭轉現況仍有許多成長空間，故還要再持續朝向目標努力。",對應到KB原則,"Vision for the Mathematical Learner:對數學學習者來說以下原則有包含對數學展現正向態度
Real Ideas, Authentic Problems
Improvable Ideas
Knowledge Building Discourse
Epistemic Agency
Pervasive Knowledge Building
Constructive Use of Authoritative Sources
Democratizing Knowledge
Symmetric Knowledge Advance
問題:
知道對應的原則後如何應用?"
KB過程中重視具體實際經驗,"The following section outlines a tangible process that focuses on bringing important KB principles, such as KB Discourse, and Community Knowledge, Collective Responsibility to life through practical strategies and concrete activities in the mathematics classroom.
以下部分概述了一個具體的過程，該過程側重於通過數學課堂中的實際策略和具體活動將重要的 KB 原則（例如 KB 對話和社群知識、集體責任）帶入生活。 （p76)
我認為暫無看出明顯的優先順序，但要將KB的重點帶入生活之中，且有具體的實際經驗，讓這過程可以有效循環，促發更多的思維及創意。",學生運用KB瞭解數學,"When students are engaged in Knowledge Building to advance mathematical understanding, they are:
• Problem Solving
• Reasoning and Proving
• Reflecting
• Selecting Tools and Computational Strategies
• Connecting
• Representing
• Communicating(p.70)
學生運用Knowledge Building可以更深刻了解數學意涵，同時他們也在：
問題解決
找尋理由與證據
反思
挑選工具與運算策略
連結
表達
溝通
問題：
哪個環節最重要？是否有優先順序？連結指的是和什麼的連結？"
好的問題會引發很多興趣，自主性提高,"Sometimes, great questions come immediately and spark an investigation, 
while at other times students might need to do a bit of work to land on a question or problem 
statement that really appeals to them, and that has the potential to sustain a deep and prolonged 
inquiry.
有時，好的問題會引發調查，學生需要些工作(前置作業)才能解決真正吸引他們的聲明。",不斷的學習,問問題的技巧是學生需要學習的一件事，如何聚焦問題，並且讓人看得懂是需要透過不斷練習才能越來越好的。老師可以引導學生去發現何謂好問題以及意義不明的問題
宗旨,旨在支持設計師尋找對其創意設計任務有用的視覺圖像，其中 EVIDII 被專業工業設計師所歡迎，並且發現支援集體創意的系統需要基於專業設計知識，並且要有上下文，信任和使設計任務容易進行的特點。,摘要,本研究旨在開發支援設計師集體創造力的電腦系統，使用其他設計師所創建的表現來支援個人創造性方面，並已開發了兩個系統IAM-eMMa和EVIDII，旨在支援設計師尋找對他們的創造性設計任務有用的視覺圖像。研究結果顯示，支援集體創造力的系統需要基於設計知識，並且需要是具有情境性、可信的，並能夠使一個設計任務被擁有。
我覺得不會回到定義的問題(step1),"因為你一開始已經先定義問題，你否決的是第二步提出的假設，並沒有否決到第一步的定義，
所以只會再回到第二步重新提出假設。",假設性的想法,"The following steps can be taken to help students work with assumptions:
1. Have a 
clearly defined problem statement or question;
2. List all immediate assumptions related to any 
aspect of the question.
This process is done fairly quickly;
3. Challenge the assumptions by asking 
""what if...was not true?"" 4.
Generate new ideas in response to your challenge question.
p58
以下步驟可以幫助學生產生假設性的想法：
1.先有定義的問題
2.列出任何相關的假設問題
3.挑戰假設(提問)
4.針對挑戰問題產生新的想法
新的想法產出了(step4結束)，會回到定義的問題(step1)重複產生新的假設性想法嗎？"
背景知識的重要,"給予前景
代表是在哪一個時空背景之下
創造力是無可限量的
因此，給予時空背景與一些可觀的知識
相信對學習者是很有幫助的。",Promisingness~脫穎而出,"P.3提及
Promisingness,as he explains,is what makes discrepant ideas stand out, encourages an individual to invest more effort, and eventually guides this person to breakthroughs. This claim about promisingness fits reported experience of creative individuals. 有前景性是才能使不同的想法脫穎而出，鼓勵個人投入更多努力，並最終引導這個人取得突破。
當一個想法被認為有前景時，能夠吸引個人的注意力和投入，並激發出更多的創造力和努力。而有創造力的個人通常會經歷這樣的過程，他們能夠從不同的角度看待問題，發現其中的獨特性，並進而產生有前景的想法。因此，對有前景性的認知可以激勵創造力的發揮，也有助於將想法轉化為實質的創新成果。"
真實與現實,"真實是面對它她是真的且實際會接觸到的
現實是未來學習者可能會遇到的
因此問題須同具具備兩項因素
那麼學習者若遇到，就必須面臨解決問題的難題。",學生對promising idea的認知,"P.12提及
Consistent with the results from previous research, “being true” or “truthfulness” represented a popular conception of what makes an idea promising. This conception was indicated in notes produced by all eight student groups.
對於promisingness一個很重要又有趣的認知，普遍想法都會結合現實和真實發生的事！
我想現實性與真實性是學生們在學習中最常接觸到的概念，因他們往往被教導要理性思考、擁有客觀的判斷力和確保自己的觀點是有根據、可信的。所以學生們認為promising idea必須要具有真實性和現實性，才有可能實現或者產生實質的效果。"
要給時間限制,我覺得需要，就如同在課堂中進行小組討論時也都會給時間限制，這樣才不會任由時間的流逝，有時時間壓力會加速討論的進行,關閉想法,"p.45 Teachers find issues will disappear as students discover their contributions and 
voices are valuable to the communit.
老師發現，當學生發現他們的貢獻對社群是有價值時，問題就會消失。
提問:在KB的討論上，我們是不是要對每個問題都要給予時間限制，不然永遠都會有更好的想法，
問題永遠都關不掉?"
Yes,如同上述問題所在，我覺得要給時間限制，學生才不會認為一直有時間，然後就慢慢拖，拖到最後只是為了提問而提問，這樣反而失去了當初知識翻新的意義了。,關閉想法,"p.45 Teachers find issues will disappear as students discover their contributions and 
voices are valuable to the communit.
老師發現，當學生發現他們的貢獻對社群是有價值時，問題就會消失。
提問:在KB的討論上，我們是不是要對每個問題都要給予時間限制，不然永遠都會有更好的想法，
問題永遠都關不掉?"
關於創造力,"提到有前景的想法可以激發創造力，但什麼樣的想法算是有創造力的呢？
是具有實踐力的，又或是其他的...?",Promisingness~脫穎而出,"P.3提及
Promisingness,as he explains,is what makes discrepant ideas stand out, encourages an individual to invest more effort, and eventually guides this person to breakthroughs. This claim about promisingness fits reported experience of creative individuals. 有前景性是才能使不同的想法脫穎而出，鼓勵個人投入更多努力，並最終引導這個人取得突破。
當一個想法被認為有前景時，能夠吸引個人的注意力和投入，並激發出更多的創造力和努力。而有創造力的個人通常會經歷這樣的過程，他們能夠從不同的角度看待問題，發現其中的獨特性，並進而產生有前景的想法。因此，對有前景性的認知可以激勵創造力的發揮，也有助於將想法轉化為實質的創新成果。"
討論的核心,"那討論的核心當中，又該如何認定這個想法是對學生有所幫助的呢？
或是如果同時有很多不同的想法該怎麼辦？",或許是討論激發出的思考,"會不會是一個議題
讓學生討論其中的核心
再延伸出去來判斷學生討論的想法發展性呢?"
